U+0023	#	['NUMBER', 'SIGN']
U+1CE4	᳤	['VEDIC', 'SIGN', 'REVERSED', 'VISARGA', 'UDATTA']
U+1CE5	᳥	['VEDIC', 'SIGN', 'VISARGA', 'ANUDATTA']
U+1CE6	᳦	['VEDIC', 'SIGN', 'REVERSED', 'VISARGA', 'ANUDATTA']
U+1CE7	᳧	['VEDIC', 'SIGN', 'VISARGA', 'UDATTA', 'WITH', 'TAIL']
U+1CE8	᳨	['VEDIC', 'SIGN', 'VISARGA', 'ANUDATTA', 'WITH', 'TAIL']
U+1CE9	ᳩ	['VEDIC', 'SIGN', 'ANUSVARA', 'ANTARGOMUKHA']
U+1CEA	ᳪ	['VEDIC', 'SIGN', 'ANUSVARA', 'BAHIRGOMUKHA']
U+1CEB	ᳫ	['VEDIC', 'SIGN', 'ANUSVARA', 'VAMAGOMUKHA']
U+1CEC	ᳬ	['VEDIC', 'SIGN', 'ANUSVARA', 'VAMAGOMUKHA', 'WITH', 'TAIL']
U+1CED	᳭	['VEDIC', 'SIGN', 'TIRYAK']
U+1CEE	ᳮ	['VEDIC', 'SIGN', 'HEXIFORM', 'LONG', 'ANUSVARA']
U+1CEF	ᳯ	['VEDIC', 'SIGN', 'LONG', 'ANUSVARA']
U+1CF0	ᳰ	['VEDIC', 'SIGN', 'RTHANG', 'LONG', 'ANUSVARA']
U+1CF1	ᳱ	['VEDIC', 'SIGN', 'ANUSVARA', 'UBHAYATO', 'MUKHA']
U+1CF2	ᳲ	['VEDIC', 'SIGN', 'ARDHAVISARGA']
U+1CF3	ᳳ	['VEDIC', 'SIGN', 'ROTATED', 'ARDHAVISARGA']
U+1CF5	ᳵ	['VEDIC', 'SIGN', 'JIHVAMULIYA']
U+1CF6	ᳶ	['VEDIC', 'SIGN', 'UPADHMANIYA']
U+1CF7	᳷	['VEDIC', 'SIGN', 'ATIKRAMA']
U+1CFA	ᳺ	['VEDIC', 'SIGN', 'DOUBLE', 'ANUSVARA', 'ANTARGOMUKHA']
U+2030	‰	['PER', 'MILLE', 'SIGN']
U+2031	‱	['PER', 'TEN', 'THOUSAND', 'SIGN']
U+204A	⁊	['TIRONIAN', 'SIGN', 'ET']
U+204B	⁋	['REVERSED', 'PILCROW', 'SIGN']
U+2052	⁒	['COMMERCIAL', 'MINUS', 'SIGN']
U+207A	⁺	['SUPERSCRIPT', 'PLUS', 'SIGN']
U+207C	⁼	['SUPERSCRIPT', 'EQUALS', 'SIGN']
U+208A	₊	['SUBSCRIPT', 'PLUS', 'SIGN']
U+208C	₌	['SUBSCRIPT', 'EQUALS', 'SIGN']
U+20A0	₠	['EURO', 'CURRENCY', 'SIGN']
U+20A1	₡	['COLON', 'SIGN']
U+20A2	₢	['CRUZEIRO', 'SIGN']
U+20A3	₣	['FRENCH', 'FRANC', 'SIGN']
U+20A4	₤	['LIRA', 'SIGN']
U+20A5	₥	['MILL', 'SIGN']
U+20A6	₦	['NAIRA', 'SIGN']
U+20A7	₧	['PESETA', 'SIGN']
U+20A8	₨	['RUPEE', 'SIGN']
U+20A9	₩	['WON', 'SIGN']
U+20AA	₪	['NEW', 'SHEQEL', 'SIGN']
U+20AB	₫	['DONG', 'SIGN']
U+20AC	€	['EURO', 'SIGN']
U+20AD	₭	['KIP', 'SIGN']
U+20AE	₮	['TUGRIK', 'SIGN']
U+20AF	₯	['DRACHMA', 'SIGN']
U+20B0	₰	['GERMAN', 'PENNY', 'SIGN']
U+20B1	₱	['PESO', 'SIGN']
U+20B2	₲	['GUARANI', 'SIGN']
U+20B3	₳	['AUSTRAL', 'SIGN']
U+20B4	₴	['HRYVNIA', 'SIGN']
U+20B5	₵	['CEDI', 'SIGN']
U+20B6	₶	['LIVRE', 'TOURNOIS', 'SIGN']
U+20B7	₷	['SPESMILO', 'SIGN']
U+20B8	₸	['TENGE', 'SIGN']
U+20B9	₹	['INDIAN', 'RUPEE', 'SIGN']
U+20BA	₺	['TURKISH', 'LIRA', 'SIGN']
U+20BB	₻	['NORDIC', 'MARK', 'SIGN']
U+20BC	₼	['MANAT', 'SIGN']
U+20BD	₽	['RUBLE', 'SIGN']
U+20BE	₾	['LARI', 'SIGN']
U+20BF	₿	['BITCOIN', 'SIGN']
U+20C0	⃀	['SOM', 'SIGN']
U+2116	№	['NUMERO', 'SIGN']
U+2121	℡	['TELEPHONE', 'SIGN']
U+2122	™	['TRADE', 'MARK', 'SIGN']
U+2125	℥	['OUNCE', 'SIGN']
U+2126	Ω	['OHM', 'SIGN']
U+2127	℧	['INVERTED', 'OHM', 'SIGN']
U+212A	K	['KELVIN', 'SIGN']
U+212B	Å	['ANGSTROM', 'SIGN']
U+213B	℻	['FACSIMILE', 'SIGN']
U+214C	⅌	['PER', 'SIGN']
U+2212	−	['MINUS', 'SIGN']
U+2213	∓	['MINUS', 'OR', 'PLUS', 'SIGN']
U+2300	⌀	['DIAMETER', 'SIGN']
U+2310	⌐	['REVERSED', 'NOT', 'SIGN']
U+2318	⌘	['PLACE', 'OF', 'INTEREST', 'SIGN']
U+2319	⌙	['TURNED', 'NOT', 'SIGN']
U+2621	☡	['CAUTION', 'SIGN']
U+2622	☢	['RADIOACTIVE', 'SIGN']
U+2623	☣	['BIOHAZARD', 'SIGN']
U+2640	♀	['FEMALE', 'SIGN']
U+2642	♂	['MALE', 'SIGN']
U+266D	♭	['MUSIC', 'FLAT', 'SIGN']
U+266E	♮	['MUSIC', 'NATURAL', 'SIGN']
U+266F	♯	['MUSIC', 'SHARP', 'SIGN']
U+267E	♾	['PERMANENT', 'PAPER', 'SIGN']
U+26A0	⚠	['WARNING', 'SIGN']
U+26A1	⚡	['HIGH', 'VOLTAGE', 'SIGN']
U+26A2	⚢	['DOUBLED', 'FEMALE', 'SIGN']
U+26A3	⚣	['DOUBLED', 'MALE', 'SIGN']
U+26A4	⚤	['INTERLOCKED', 'FEMALE', 'AND', 'MALE', 'SIGN']
U+26A5	⚥	['MALE', 'AND', 'FEMALE', 'SIGN']
U+26A6	⚦	['MALE', 'WITH', 'STROKE', 'SIGN']
U+26A7	⚧	['MALE', 'WITH', 'STROKE', 'AND', 'MALE', 'AND', 'FEMALE', 'SIGN']
U+26A8	⚨	['VERTICAL', 'MALE', 'WITH', 'STROKE', 'SIGN']
U+26A9	⚩	['HORIZONTAL', 'MALE', 'WITH', 'STROKE', 'SIGN']
U+26DA	⛚	['DRIVE', 'SLOW', 'SIGN']
U+2706	✆	['TELEPHONE', 'LOCATION', 'SIGN']
U+2761	❡	['CURVED', 'STEM', 'PARAGRAPH', 'SIGN', 'ORNAMENT']
U+2795	➕	['HEAVY', 'PLUS', 'SIGN']
U+2796	➖	['HEAVY', 'MINUS', 'SIGN']
U+2797	➗	['HEAVY', 'DIVISION', 'SIGN']
U+2971	⥱	['EQUALS', 'SIGN', 'ABOVE', 'RIGHTWARDS', 'ARROW']
U+29BC	⦼	['CIRCLED', 'ANTICLOCKWISE', 'ROTATED', 'DIVISION', 'SIGN']
U+29E3	⧣	['EQUALS', 'SIGN', 'AND', 'SLANTED', 'PARALLEL']
U+29E4	⧤	['EQUALS', 'SIGN', 'AND', 'SLANTED', 'PARALLEL', 'WITH', 'TILDE', 'ABOVE']
U+2A18	⨘	['INTEGRAL', 'WITH', 'TIMES', 'SIGN']
U+2A22	⨢	['PLUS', 'SIGN', 'WITH', 'SMALL', 'CIRCLE', 'ABOVE']
U+2A23	⨣	['PLUS', 'SIGN', 'WITH', 'CIRCUMFLEX', 'ACCENT', 'ABOVE']
U+2A24	⨤	['PLUS', 'SIGN', 'WITH', 'TILDE', 'ABOVE']
U+2A25	⨥	['PLUS', 'SIGN', 'WITH', 'DOT', 'BELOW']
U+2A26	⨦	['PLUS', 'SIGN', 'WITH', 'TILDE', 'BELOW']
U+2A27	⨧	['PLUS', 'SIGN', 'WITH', 'SUBSCRIPT', 'TWO']
U+2A28	⨨	['PLUS', 'SIGN', 'WITH', 'BLACK', 'TRIANGLE']
U+2A29	⨩	['MINUS', 'SIGN', 'WITH', 'COMMA', 'ABOVE']
U+2A2A	⨪	['MINUS', 'SIGN', 'WITH', 'DOT', 'BELOW']
U+2A2B	⨫	['MINUS', 'SIGN', 'WITH', 'FALLING', 'DOTS']
U+2A2C	⨬	['MINUS', 'SIGN', 'WITH', 'RISING', 'DOTS']
U+2A2D	⨭	['PLUS', 'SIGN', 'IN', 'LEFT', 'HALF', 'CIRCLE']
U+2A2E	⨮	['PLUS', 'SIGN', 'IN', 'RIGHT', 'HALF', 'CIRCLE']
U+2A30	⨰	['MULTIPLICATION', 'SIGN', 'WITH', 'DOT', 'ABOVE']
U+2A31	⨱	['MULTIPLICATION', 'SIGN', 'WITH', 'UNDERBAR']
U+2A34	⨴	['MULTIPLICATION', 'SIGN', 'IN', 'LEFT', 'HALF', 'CIRCLE']
U+2A35	⨵	['MULTIPLICATION', 'SIGN', 'IN', 'RIGHT', 'HALF', 'CIRCLE']
U+2A36	⨶	['CIRCLED', 'MULTIPLICATION', 'SIGN', 'WITH', 'CIRCUMFLEX', 'ACCENT']
U+2A37	⨷	['MULTIPLICATION', 'SIGN', 'IN', 'DOUBLE', 'CIRCLE']
U+2A38	⨸	['CIRCLED', 'DIVISION', 'SIGN']
U+2A39	⨹	['PLUS', 'SIGN', 'IN', 'TRIANGLE']
U+2A3A	⨺	['MINUS', 'SIGN', 'IN', 'TRIANGLE']
U+2A3B	⨻	['MULTIPLICATION', 'SIGN', 'IN', 'TRIANGLE']
U+2A41	⩁	['UNION', 'WITH', 'MINUS', 'SIGN']
U+2A66	⩦	['EQUALS', 'SIGN', 'WITH', 'DOT', 'BELOW']
U+2A71	⩱	['EQUALS', 'SIGN', 'ABOVE', 'PLUS', 'SIGN']
U+2A72	⩲	['PLUS', 'SIGN', 'ABOVE', 'EQUALS', 'SIGN']
U+2A73	⩳	['EQUALS', 'SIGN', 'ABOVE', 'TILDE', 'OPERATOR']
U+2A77	⩷	['EQUALS', 'SIGN', 'WITH', 'TWO', 'DOTS', 'ABOVE', 'AND', 'TWO', 'DOTS', 'BELOW']
U+2A9F	⪟	['SIMILAR', 'ABOVE', 'LESS', 'THAN', 'ABOVE', 'EQUALS', 'SIGN']
U+2AA0	⪠	['SIMILAR', 'ABOVE', 'GREATER', 'THAN', 'ABOVE', 'EQUALS', 'SIGN']
U+2AAE	⪮	['EQUALS', 'SIGN', 'WITH', 'BUMPY', 'ABOVE']
U+2AAF	⪯	['PRECEDES', 'ABOVE', 'SINGLE', 'LINE', 'EQUALS', 'SIGN']
U+2AB0	⪰	['SUCCEEDS', 'ABOVE', 'SINGLE', 'LINE', 'EQUALS', 'SIGN']
U+2AB3	⪳	['PRECEDES', 'ABOVE', 'EQUALS', 'SIGN']
U+2AB4	⪴	['SUCCEEDS', 'ABOVE', 'EQUALS', 'SIGN']
U+2ABF	⪿	['SUBSET', 'WITH', 'PLUS', 'SIGN', 'BELOW']
U+2AC0	⫀	['SUPERSET', 'WITH', 'PLUS', 'SIGN', 'BELOW']
U+2AC1	⫁	['SUBSET', 'WITH', 'MULTIPLICATION', 'SIGN', 'BELOW']
U+2AC2	⫂	['SUPERSET', 'WITH', 'MULTIPLICATION', 'SIGN', 'BELOW']
U+2AC5	⫅	['SUBSET', 'OF', 'ABOVE', 'EQUALS', 'SIGN']
U+2AC6	⫆	['SUPERSET', 'OF', 'ABOVE', 'EQUALS', 'SIGN']
U+2AEC	⫬	['DOUBLE', 'STROKE', 'NOT', 'SIGN']
U+2AED	⫭	['REVERSED', 'DOUBLE', 'STROKE', 'NOT', 'SIGN']
U+2B40	⭀	['EQUALS', 'SIGN', 'ABOVE', 'LEFTWARDS', 'ARROW']
U+2BD1	⯑	['UNCERTAINTY', 'SIGN']
U+2BF9	⯹	['EQUALS', 'SIGN', 'WITH', 'INFINITY', 'BELOW']
U+2E39	⸹	['TOP', 'HALF', 'SECTION', 'SIGN']
U+2E52	⹒	['TIRONIAN', 'SIGN', 'CAPITAL', 'ET']
U+3250	㉐	['PARTNERSHIP', 'SIGN']
U+32CF	㋏	['LIMITED', 'LIABILITY', 'SIGN']
U+A670	꙰	['COMBINING', 'CYRILLIC', 'TEN', 'MILLIONS', 'SIGN']
U+A671	꙱	['COMBINING', 'CYRILLIC', 'HUNDRED', 'MILLIONS', 'SIGN']
U+A672	꙲	['COMBINING', 'CYRILLIC', 'THOUSAND', 'MILLIONS', 'SIGN']
U+A678	ꙸ	['COMBINING', 'CYRILLIC', 'LETTER', 'HARD', 'SIGN']
U+A67A	ꙺ	['COMBINING', 'CYRILLIC', 'LETTER', 'SOFT', 'SIGN']
U+A69C	ꚜ	['MODIFIER', 'LETTER', 'CYRILLIC', 'HARD', 'SIGN']
U+A69D	ꚝ	['MODIFIER', 'LETTER', 'CYRILLIC', 'SOFT', 'SIGN']
U+A78A	꞊	['MODIFIER', 'LETTER', 'SHORT', 'EQUALS', 'SIGN']
U+A802	ꠂ	['SYLOTI', 'NAGRI', 'SIGN', 'DVISVARA']
U+A806	꠆	['SYLOTI', 'NAGRI', 'SIGN', 'HASANTA']
U+A80B	ꠋ	['SYLOTI', 'NAGRI', 'SIGN', 'ANUSVARA']
U+A823	ꠣ	['SYLOTI', 'NAGRI', 'VOWEL', 'SIGN', 'A']
U+A824	ꠤ	['SYLOTI', 'NAGRI', 'VOWEL', 'SIGN', 'I']
U+A825	ꠥ	['SYLOTI', 'NAGRI', 'VOWEL', 'SIGN', 'U']
U+A826	ꠦ	['SYLOTI', 'NAGRI', 'VOWEL', 'SIGN', 'E']
U+A827	ꠧ	['SYLOTI', 'NAGRI', 'VOWEL', 'SIGN', 'OO']
U+A82C	꠬	['SYLOTI', 'NAGRI', 'SIGN', 'ALTERNATE', 'HASANTA']
U+A880	ꢀ	['SAURASHTRA', 'SIGN', 'ANUSVARA']
U+A881	ꢁ	['SAURASHTRA', 'SIGN', 'VISARGA']
U+A8B4	ꢴ	['SAURASHTRA', 'CONSONANT', 'SIGN', 'HAARU']
U+A8B5	ꢵ	['SAURASHTRA', 'VOWEL', 'SIGN', 'AA']
U+A8B6	ꢶ	['SAURASHTRA', 'VOWEL', 'SIGN', 'I']
U+A8B7	ꢷ	['SAURASHTRA', 'VOWEL', 'SIGN', 'II']
U+A8B8	ꢸ	['SAURASHTRA', 'VOWEL', 'SIGN', 'U']
U+A8B9	ꢹ	['SAURASHTRA', 'VOWEL', 'SIGN', 'UU']
U+A8BA	ꢺ	['SAURASHTRA', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+A8BB	ꢻ	['SAURASHTRA', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+A8BC	ꢼ	['SAURASHTRA', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+A8BD	ꢽ	['SAURASHTRA', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+A8BE	ꢾ	['SAURASHTRA', 'VOWEL', 'SIGN', 'E']
U+A8BF	ꢿ	['SAURASHTRA', 'VOWEL', 'SIGN', 'EE']
U+A8C0	ꣀ	['SAURASHTRA', 'VOWEL', 'SIGN', 'AI']
U+A8C1	ꣁ	['SAURASHTRA', 'VOWEL', 'SIGN', 'O']
U+A8C2	ꣂ	['SAURASHTRA', 'VOWEL', 'SIGN', 'OO']
U+A8C3	ꣃ	['SAURASHTRA', 'VOWEL', 'SIGN', 'AU']
U+A8C4	꣄	['SAURASHTRA', 'SIGN', 'VIRAMA']
U+A8C5	ꣅ	['SAURASHTRA', 'SIGN', 'CANDRABINDU']
U+A8F1	꣱	['COMBINING', 'DEVANAGARI', 'SIGN', 'AVAGRAHA']
U+A8F2	ꣲ	['DEVANAGARI', 'SIGN', 'SPACING', 'CANDRABINDU']
U+A8F3	ꣳ	['DEVANAGARI', 'SIGN', 'CANDRABINDU', 'VIRAMA']
U+A8F4	ꣴ	['DEVANAGARI', 'SIGN', 'DOUBLE', 'CANDRABINDU', 'VIRAMA']
U+A8F5	ꣵ	['DEVANAGARI', 'SIGN', 'CANDRABINDU', 'TWO']
U+A8F6	ꣶ	['DEVANAGARI', 'SIGN', 'CANDRABINDU', 'THREE']
U+A8F7	ꣷ	['DEVANAGARI', 'SIGN', 'CANDRABINDU', 'AVAGRAHA']
U+A8F8	꣸	['DEVANAGARI', 'SIGN', 'PUSHPIKA']
U+A8FC	꣼	['DEVANAGARI', 'SIGN', 'SIDDHAM']
U+A8FF	ꣿ	['DEVANAGARI', 'VOWEL', 'SIGN', 'AY']
U+A92E	꤮	['KAYAH', 'LI', 'SIGN', 'CWI']
U+A92F	꤯	['KAYAH', 'LI', 'SIGN', 'SHYA']
U+A947	ꥇ	['REJANG', 'VOWEL', 'SIGN', 'I']
U+A948	ꥈ	['REJANG', 'VOWEL', 'SIGN', 'U']
U+A949	ꥉ	['REJANG', 'VOWEL', 'SIGN', 'E']
U+A94A	ꥊ	['REJANG', 'VOWEL', 'SIGN', 'AI']
U+A94B	ꥋ	['REJANG', 'VOWEL', 'SIGN', 'O']
U+A94C	ꥌ	['REJANG', 'VOWEL', 'SIGN', 'AU']
U+A94D	ꥍ	['REJANG', 'VOWEL', 'SIGN', 'EU']
U+A94E	ꥎ	['REJANG', 'VOWEL', 'SIGN', 'EA']
U+A94F	ꥏ	['REJANG', 'CONSONANT', 'SIGN', 'NG']
U+A950	ꥐ	['REJANG', 'CONSONANT', 'SIGN', 'N']
U+A951	ꥑ	['REJANG', 'CONSONANT', 'SIGN', 'R']
U+A952	ꥒ	['REJANG', 'CONSONANT', 'SIGN', 'H']
U+A980	ꦀ	['JAVANESE', 'SIGN', 'PANYANGGA']
U+A981	ꦁ	['JAVANESE', 'SIGN', 'CECAK']
U+A982	ꦂ	['JAVANESE', 'SIGN', 'LAYAR']
U+A983	ꦃ	['JAVANESE', 'SIGN', 'WIGNYAN']
U+A9B3	꦳	['JAVANESE', 'SIGN', 'CECAK', 'TELU']
U+A9B4	ꦴ	['JAVANESE', 'VOWEL', 'SIGN', 'TARUNG']
U+A9B5	ꦵ	['JAVANESE', 'VOWEL', 'SIGN', 'TOLONG']
U+A9B6	ꦶ	['JAVANESE', 'VOWEL', 'SIGN', 'WULU']
U+A9B7	ꦷ	['JAVANESE', 'VOWEL', 'SIGN', 'WULU', 'MELIK']
U+A9B8	ꦸ	['JAVANESE', 'VOWEL', 'SIGN', 'SUKU']
U+A9B9	ꦹ	['JAVANESE', 'VOWEL', 'SIGN', 'SUKU', 'MENDUT']
U+A9BA	ꦺ	['JAVANESE', 'VOWEL', 'SIGN', 'TALING']
U+A9BB	ꦻ	['JAVANESE', 'VOWEL', 'SIGN', 'DIRGA', 'MURE']
U+A9BC	ꦼ	['JAVANESE', 'VOWEL', 'SIGN', 'PEPET']
U+A9BD	ꦽ	['JAVANESE', 'CONSONANT', 'SIGN', 'KERET']
U+A9BE	ꦾ	['JAVANESE', 'CONSONANT', 'SIGN', 'PENGKAL']
U+A9BF	ꦿ	['JAVANESE', 'CONSONANT', 'SIGN', 'CAKRA']
U+A9E5	ꧥ	['MYANMAR', 'SIGN', 'SHAN', 'SAW']
U+AA29	ꨩ	['CHAM', 'VOWEL', 'SIGN', 'AA']
U+AA2A	ꨪ	['CHAM', 'VOWEL', 'SIGN', 'I']
U+AA2B	ꨫ	['CHAM', 'VOWEL', 'SIGN', 'II']
U+AA2C	ꨬ	['CHAM', 'VOWEL', 'SIGN', 'EI']
U+AA2D	ꨭ	['CHAM', 'VOWEL', 'SIGN', 'U']
U+AA2E	ꨮ	['CHAM', 'VOWEL', 'SIGN', 'OE']
U+AA2F	ꨯ	['CHAM', 'VOWEL', 'SIGN', 'O']
U+AA30	ꨰ	['CHAM', 'VOWEL', 'SIGN', 'AI']
U+AA31	ꨱ	['CHAM', 'VOWEL', 'SIGN', 'AU']
U+AA32	ꨲ	['CHAM', 'VOWEL', 'SIGN', 'UE']
U+AA33	ꨳ	['CHAM', 'CONSONANT', 'SIGN', 'YA']
U+AA34	ꨴ	['CHAM', 'CONSONANT', 'SIGN', 'RA']
U+AA35	ꨵ	['CHAM', 'CONSONANT', 'SIGN', 'LA']
U+AA36	ꨶ	['CHAM', 'CONSONANT', 'SIGN', 'WA']
U+AA43	ꩃ	['CHAM', 'CONSONANT', 'SIGN', 'FINAL', 'NG']
U+AA4C	ꩌ	['CHAM', 'CONSONANT', 'SIGN', 'FINAL', 'M']
U+AA4D	ꩍ	['CHAM', 'CONSONANT', 'SIGN', 'FINAL', 'H']
U+AA7B	ꩻ	['MYANMAR', 'SIGN', 'PAO', 'KAREN', 'TONE']
U+AA7C	ꩼ	['MYANMAR', 'SIGN', 'TAI', 'LAING', 'TONE', '2']
U+AA7D	ꩽ	['MYANMAR', 'SIGN', 'TAI', 'LAING', 'TONE', '5']
U+AAEB	ꫫ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'II']
U+AAEC	ꫬ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'UU']
U+AAED	ꫭ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'AAI']
U+AAEE	ꫮ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'AU']
U+AAEF	ꫯ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'AAU']
U+AAF5	ꫵ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'VISARGA']
U+ABE3	ꯣ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'ONAP']
U+ABE4	ꯤ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'INAP']
U+ABE5	ꯥ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'ANAP']
U+ABE6	ꯦ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'YENAP']
U+ABE7	ꯧ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'SOUNAP']
U+ABE8	ꯨ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'UNAP']
U+ABE9	ꯩ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'CHEINAP']
U+ABEA	ꯪ	['MEETEI', 'MAYEK', 'VOWEL', 'SIGN', 'NUNG']
U+FB29	﬩	['HEBREW', 'LETTER', 'ALTERNATIVE', 'PLUS', 'SIGN']
U+FDF0	ﷰ	['ARABIC', 'LIGATURE', 'SALLA', 'USED', 'AS', 'KORANIC', 'STOP', 'SIGN', 'ISOLATED', 'FORM']
U+FDF1	ﷱ	['ARABIC', 'LIGATURE', 'QALA', 'USED', 'AS', 'KORANIC', 'STOP', 'SIGN', 'ISOLATED', 'FORM']
U+FDFC	﷼	['RIAL', 'SIGN']
U+FE5F	﹟	['SMALL', 'NUMBER', 'SIGN']
U+FE62	﹢	['SMALL', 'PLUS', 'SIGN']
U+FE64	﹤	['SMALL', 'LESS', 'THAN', 'SIGN']
U+FE65	﹥	['SMALL', 'GREATER', 'THAN', 'SIGN']
U+FE66	﹦	['SMALL', 'EQUALS', 'SIGN']
U+FE69	﹩	['SMALL', 'DOLLAR', 'SIGN']
U+FE6A	﹪	['SMALL', 'PERCENT', 'SIGN']
U+FF03	＃	['FULLWIDTH', 'NUMBER', 'SIGN']
U+FF04	＄	['FULLWIDTH', 'DOLLAR', 'SIGN']
U+FF05	％	['FULLWIDTH', 'PERCENT', 'SIGN']
U+FF0B	＋	['FULLWIDTH', 'PLUS', 'SIGN']
U+FF1C	＜	['FULLWIDTH', 'LESS', 'THAN', 'SIGN']
U+FF1D	＝	['FULLWIDTH', 'EQUALS', 'SIGN']
U+FF1E	＞	['FULLWIDTH', 'GREATER', 'THAN', 'SIGN']
U+FFE0	￠	['FULLWIDTH', 'CENT', 'SIGN']
U+FFE1	￡	['FULLWIDTH', 'POUND', 'SIGN']
U+FFE2	￢	['FULLWIDTH', 'NOT', 'SIGN']
U+FFE5	￥	['FULLWIDTH', 'YEN', 'SIGN']
U+FFE6	￦	['FULLWIDTH', 'WON', 'SIGN']
U+10175	𐅵	['GREEK', 'ONE', 'HALF', 'SIGN']
U+10176	𐅶	['GREEK', 'ONE', 'HALF', 'SIGN', 'ALTERNATE', 'FORM']
U+10177	𐅷	['GREEK', 'TWO', 'THIRDS', 'SIGN']
U+10178	𐅸	['GREEK', 'THREE', 'QUARTERS', 'SIGN']
U+10179	𐅹	['GREEK', 'YEAR', 'SIGN']
U+1017A	𐅺	['GREEK', 'TALENT', 'SIGN']
U+1017B	𐅻	['GREEK', 'DRACHMA', 'SIGN']
U+1017C	𐅼	['GREEK', 'OBOL', 'SIGN']
U+1017D	𐅽	['GREEK', 'TWO', 'OBOLS', 'SIGN']
U+1017E	𐅾	['GREEK', 'THREE', 'OBOLS', 'SIGN']
U+1017F	𐅿	['GREEK', 'FOUR', 'OBOLS', 'SIGN']
U+10180	𐆀	['GREEK', 'FIVE', 'OBOLS', 'SIGN']
U+10181	𐆁	['GREEK', 'METRETES', 'SIGN']
U+10182	𐆂	['GREEK', 'KYATHOS', 'BASE', 'SIGN']
U+10183	𐆃	['GREEK', 'LITRA', 'SIGN']
U+10184	𐆄	['GREEK', 'OUNKIA', 'SIGN']
U+10185	𐆅	['GREEK', 'XESTES', 'SIGN']
U+10186	𐆆	['GREEK', 'ARTABE', 'SIGN']
U+10187	𐆇	['GREEK', 'AROURA', 'SIGN']
U+10188	𐆈	['GREEK', 'GRAMMA', 'SIGN']
U+10189	𐆉	['GREEK', 'TRYBLION', 'BASE', 'SIGN']
U+1018A	𐆊	['GREEK', 'ZERO', 'SIGN']
U+1018B	𐆋	['GREEK', 'ONE', 'QUARTER', 'SIGN']
U+1018C	𐆌	['GREEK', 'SINUSOID', 'SIGN']
U+1018D	𐆍	['GREEK', 'INDICTION', 'SIGN']
U+1018E	𐆎	['NOMISMA', 'SIGN']
U+10190	𐆐	['ROMAN', 'SEXTANS', 'SIGN']
U+10191	𐆑	['ROMAN', 'UNCIA', 'SIGN']
U+10192	𐆒	['ROMAN', 'SEMUNCIA', 'SIGN']
U+10193	𐆓	['ROMAN', 'SEXTULA', 'SIGN']
U+10194	𐆔	['ROMAN', 'DIMIDIA', 'SEXTULA', 'SIGN']
U+10195	𐆕	['ROMAN', 'SILIQUA', 'SIGN']
U+10196	𐆖	['ROMAN', 'DENARIUS', 'SIGN']
U+10197	𐆗	['ROMAN', 'QUINARIUS', 'SIGN']
U+10198	𐆘	['ROMAN', 'SESTERTIUS', 'SIGN']
U+10199	𐆙	['ROMAN', 'DUPONDIUS', 'SIGN']
U+1019A	𐆚	['ROMAN', 'AS', 'SIGN']
U+1019B	𐆛	['ROMAN', 'CENTURIAL', 'SIGN']
U+101D0	𐇐	['PHAISTOS', 'DISC', 'SIGN', 'PEDESTRIAN']
U+101D1	𐇑	['PHAISTOS', 'DISC', 'SIGN', 'PLUMED', 'HEAD']
U+101D2	𐇒	['PHAISTOS', 'DISC', 'SIGN', 'TATTOOED', 'HEAD']
U+101D3	𐇓	['PHAISTOS', 'DISC', 'SIGN', 'CAPTIVE']
U+101D4	𐇔	['PHAISTOS', 'DISC', 'SIGN', 'CHILD']
U+101D5	𐇕	['PHAISTOS', 'DISC', 'SIGN', 'WOMAN']
U+101D6	𐇖	['PHAISTOS', 'DISC', 'SIGN', 'HELMET']
U+101D7	𐇗	['PHAISTOS', 'DISC', 'SIGN', 'GAUNTLET']
U+101D8	𐇘	['PHAISTOS', 'DISC', 'SIGN', 'TIARA']
U+101D9	𐇙	['PHAISTOS', 'DISC', 'SIGN', 'ARROW']
U+101DA	𐇚	['PHAISTOS', 'DISC', 'SIGN', 'BOW']
U+101DB	𐇛	['PHAISTOS', 'DISC', 'SIGN', 'SHIELD']
U+101DC	𐇜	['PHAISTOS', 'DISC', 'SIGN', 'CLUB']
U+101DD	𐇝	['PHAISTOS', 'DISC', 'SIGN', 'MANACLES']
